Compliance Period,School District,School,County,Type of Organization,BEDS Code,School Website,Number of Outlets that Require Sampling,Number of Outlets Sampled 2023,Number of Outlets Sampled 2024,Number of Outlets Sampled 2025,Sampling Complete,"Number of Outlets, Result ≤ 5 ppb","Number of Outlets, Result > 5 ppb",All Results Received,Out of Service or Addressed,Remediation Status,School Street,School City,School State,School ZIP Code,Date Survey Updated,County Location,Location,Cleaned_school_name,PS_No,Free_lunch,Total_students,Ratio_free
2023-2025,NYACK UNION FREE SCHOOL,NYACK MIDDLE SCHOOL,Rockland,Public School,500304030007,https://echalk-slate-prod.s3.amazonaws.com/private/districts/492/resources/f00c64a0-d636-4751-be4c-3952ce8ee5c4?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=2020187960&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22NMS%2520Results.pdf%22&response-,20.0,20.0,0.0,0.0,Yes,19,1,Yes,Yes,Complete,98 S HIGHLAND AVE,NYACK,NY,10960,01/10/2024,,,NYACK MIDDLE SCHOOL,,209.0,648.0,0.3225308641975308
2023-2025,NYACK UNION FREE SCHOOL,NYACK SENIOR HIGH SCHOOL,Rockland,Public School,500304030006,https://echalk-slate-prod.s3.amazonaws.com/private/districts/492/resources/4251d71f-5e87-41cf-81d8-76649d817e21?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=2020187960&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22Nyack%2520HS%2520Results.pdf%22&,26.0,26.0,0.0,0.0,Yes,25,1,Yes,Yes,Complete,360 CHRISTIAN HERALD RD,UPPER NYACK,NY,10960,01/10/2024,,,NYACK SENIOR HIGH SCHOOL,,261.0,914.0,0.2855579868708972
2023-2025,NYACK UNION FREE SCHOOL,UPPER NYACK ELEMENTARY SCHOOL,Rockland,Public School,500304030004,https://echalk-slate-prod.s3.amazonaws.com/private/districts/492/resources/4f49c537-237a-444b-81da-7ace24a5e6fa?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=2020187960&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22UNE%2520Results.pdf%22&response-,13.0,13.0,0.0,0.0,Yes,13,0,Yes,,,336 N BROADWAY,UPPER NYACK,NY,10960,01/10/2024,,,UPPER NYACK ELEMENTARY SCHOOL,,90.0,400.0,0.225
2023-2025,NYACK UNION FREE SCHOOL,VALLEY COTTAGE ELEMENTARY SCHOOL,Rockland,Public School,500304030005,https://echalk-slate-prod.s3.amazonaws.com/private/districts/492/resources/dbb8e47d-2764-4f1c-bdef-27359284303d?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=2020187960&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22VCE%2520Results.pdf%22&response-,11.0,11.0,0.0,0.0,Yes,10,1,Yes,Yes,Complete,26 LAKE RD,VALLEY COTTAGE,NY,10989,01/10/2024,,,VALLEY COTTAGE ELEMENTARY SCHOOL,,108.0,377.0,0.2864721485411141
2023-2025,NYC DOE,3K CENETR @ 207-01 JAMAICA AVENUE - QUEENS,Queens,Public School,Q483,https://www.schools.nyc.gov/schools/Q381,22.0,22.0,0.0,0.0,Yes,22,0,Yes,Yes,Complete,207-01 Jamaica Avenue,Queens,NY,11428,12/15/2023,"(40.71443, -73.752958)","(40.71443, -73.752958)",3K CENETR @ 20701 JAMAICA AVENUE QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 100-02 ROCKAWAY BOULEVARD - QUEENS,Queens,Public School,Q468,https://www.schools.nyc.gov/schools/Q336,22.0,22.0,0.0,0.0,Yes,22,0,Yes,,,100-02 ROCKAWAY BOULEVARD,Queens,NY,11417,11/03/2023,"(40.679438, -73.838902)","(40.679438, -73.838902)",3K CENTER @ 10002 ROCKAWAY BOULEVARD QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 101-49 WOODHAVEN BOULEVARD - QUEENS,Queens,Public School,Q439,https://www.schools.nyc.gov/schools/Q336,57.0,57.0,0.0,0.0,Yes,57,0,Yes,Yes,Complete,101-49 WOODHAVEN BOULEVARD,Queens,NY,11416,01/12/2024,"(40.682949, -73.844901)","(40.682949, -73.844901)",3K CENTER @ 10149 WOODHAVEN BOULEVARD QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 104 HOUSMAN AVENUE - STATEN ISLAND,Richmond,Public School,R094,https://www.schools.nyc.gov/schools/R066,15.0,15.0,0.0,0.0,Yes,15,0,Yes,,,104 HOUSMAN AVENUE,Staten Island,NY,10303,11/03/2023,"(40.634613, -74.148876)","(40.634613, -74.148876)",3K CENTER @ 104 HOUSMAN AVENUE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 104-06 101 AVENUE - QUEENS,Queens,Public School,Q474,https://www.schools.nyc.gov/schools/Q336,16.0,16.0,0.0,0.0,Yes,16,0,Yes,Yes,Complete,101-20 105 STREET,Queens,NY,11416,05/31/2024,"(40.685662, -73.838321)","(40.685662, -73.838321)",3K CENTER @ 10406 101 AVENUE QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 1275 WOODROW ROAD - STATEN ISLAND,Richmond,Public School,R101,https://www.schools.nyc.gov/schools/Z147,12.0,0.0,0.0,12.0,Yes,12,0,Yes,Yes,,1275 Woodrow Road,Staten Island,NY,10309,04/04/2025,"(40.54203, -74.207489)","(40.54203, -74.207489)",3K CENTER @ 1275 WOODROW ROAD STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 133-40 79TH STREET - QUEENS,Queens,Public School,Q473,https://www.schools.nyc.gov/schools/Q336,73.0,73.0,0.0,0.0,Yes,73,0,Yes,Yes,Complete,133-40 79TH STREET,Queens,NY,11414,02/22/2024,"(40.671903, -73.857176)","(40.671903, -73.857176)",3K CENTER @ 13340 79TH STREET QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 1390 RICHMOND TERRACE - STATEN ISLAND,Richmond,Public School,R074,https://www.schools.nyc.gov/schools/R373,21.0,0.0,0.0,21.0,Yes,21,0,Yes,Yes,,10 Elm Street,Staten Island,NY,10310,05/02/2025,"(40.641643, -74.11514)","(40.641643, -74.11514)",3K CENTER @ 1390 RICHMOND TERRACE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 1535 RICHMOND AVENUE - STATEN ISLAND,Richmond,Public School,R090,https://www.schools.nyc.gov/schools/R066,51.0,51.0,0.0,0.0,Yes,51,0,Yes,,,1535 RICHMOND AVENUE,Staten Island,NY,10314,11/17/2023,"(40.610497, -74.159152)","(40.610497, -74.159152)",3K CENTER @ 1535 RICHMOND AVENUE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 160-06 CROSS BAY BOULEVARD - QUEENS,Queens,Public School,Q486,https://www.schools.nyc.gov/schools/Q336,12.0,12.0,0.0,0.0,Yes,12,0,Yes,,,160-06 CROSS BAY BOULEVARD,Queens,NY,11414,11/03/2023,"(40.656943, -73.839962)","(40.656943, -73.839962)",3K CENTER @ 16006 CROSS BAY BOULEVARD QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ 1946 BOSTON ROAD - BRONX,Bronx,Public School,X484,https://www.schools.nyc.gov/schools/X626,14.0,14.0,0.0,0.0,Yes,14,0,Yes,,,1946 Boston Road,Bronx,NY,10460,08/17/2023,"(40.839563, -73.880672)","(40.839563, -73.880672)",3K CENTER @ 1946 BOSTON ROAD BRONX,,,,
2023-2025,NYC DOE,3K CENTER @ 2040 FOREST AVENUE - STATEN ISLAND,Richmond,Public School,R096,NO WEBSITE,16.0,0.0,0.0,16.0,Yes,16,0,Yes,Yes,,2040 Forest Avenue,Staten Island,NY,10303,05/02/2025,"(40.62522, -74.157162)","(40.62522, -74.157162)",3K CENTER @ 2040 FOREST AVENUE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 2389 RICHMOND AVENUE - STATEN ISLAND,Richmond,Public School,R100,NO WEBSITE,12.0,0.0,0.0,12.0,Yes,12,0,Yes,Yes,,2389 Richmond Avenue,Staten Island,NY,10314,04/18/2025,"(40.588879, -74.165311)","(40.588879, -74.165311)",3K CENTER @ 2389 RICHMOND AVENUE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ 2530 VICTORY BOULEVARD - STATEN ISLAND,Richmond,Public School,R093,https://www.schools.nyc.gov/schools/R066,17.0,17.0,0.0,0.0,Yes,17,0,Yes,,,2530 VICTORY BOULEVARD,Staten Island,NY,10314,11/17/2023,"(40.609601, -74.14769)","(40.609601, -74.14769)",3K CENTER @ 2530 VICTORY BOULEVARD STATEN ISLAND,,,,
2023-2025,NYC DOE,3K Center @ 2659 Webster Avenue,Bronx,Public School,X491,NO WEBSITE,19.0,0.0,0.0,19.0,Yes,19,0,Yes,Yes,,2659 Webster Avenue,Bronx,NY,10458,05/02/2025,"(40.863677, -73.888796)","(40.863677, -73.888796)",3K Center @ 2659 Webster Avenue,,,,
2023-2025,NYC DOE,3K Center @ 330 East 38th Street,Manhattan,Public School,M508,NO WEBSITE,22.0,0.0,0.0,22.0,Yes,22,0,Yes,Yes,,330 East   38 Street,Manhattan,NY,10016,04/18/2025,"(40.746741, -73.972741)","(40.746741, -73.972741)",3K Center @ 330 East 38th Street,,,,
2023-2025,NYC DOE,3K Center @ 4197 Third Avenue,Bronx,Public School,X497,https://www.schools.nyc.gov/schools/X582,15.0,15.0,0.0,0.0,Yes,15,0,Yes,,,4197 3 Avenue,Bronx,NY,10457,11/17/2023,"(40.846206, -73.897376)","(40.846206, -73.897376)",3K Center @ 4197 Third Avenue,,,,
2023-2025,NYC DOE,3K Center @ 47-09 36th Street,Queens,Public School,Q503,https://www.schools.nyc.gov/schools/Q023,32.0,0.0,32.0,0.0,Yes,32,0,Yes,,,47-09 36 Street,QUEENS,NY,11101,09/20/2024,"(40.741953, -73.929362)","(40.741953, -73.929362)",3K Center @ 4709 36th Street,,,,
2023-2025,NYC DOE,3K CENTER @ 87-40 88 STREET - QUEENS,Queens,Public School,Q477,https://www.schools.nyc.gov/schools/Q336,39.0,39.0,0.0,0.0,Yes,39,0,Yes,Yes,Complete,87-40 88 STREET,Queens,NY,11421,02/22/2024,"(40.691406, -73.856363)","(40.691406, -73.856363)",3K CENTER @ 8740 88 STREET QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ BAY STREET - STATEN ISLAND,Richmond,Public School,R105,NO WEBSITE,18.0,0.0,0.0,18.0,Yes,18,0,Yes,Yes,,365 Bay Street,Staten Island,NY,10301,04/18/2025,"(40.633302, -74.074719)","(40.633302, -74.074719)",3K CENTER @ BAY STREET STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ BEACH 99TH STREET - QUEENS,Queens,Public School,Q464,https://www.schools.nyc.gov/schools/Q336,17.0,17.0,0.0,0.0,Yes,17,0,Yes,,,185 Beach 99th Street,Queens,NY,11694,11/17/2023,"(40.58359, -73.820445)","(40.58359, -73.820445)",3K CENTER @ BEACH 99TH STREET QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ BROADWAY - QUEENS,Queens,Public School,Q364,https://www.schools.nyc.gov/schools/Q331,16.0,16.0,0.0,0.0,Yes,16,0,Yes,,,75-01 Broadway,Queens,NY,11373,10/20/2023,"(40.746446, -73.890006)","(40.746446, -73.890006)",3K CENTER @ BROADWAY QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ EAST 162ND STREET - BRONX,Bronx,Public School,X494,https://www.schools.nyc.gov/schools/X533,27.0,27.0,0.0,0.0,Yes,27,0,Yes,,,443 East 162nd Street,Bronx,NY,10451,08/17/2023,"(40.824527, -73.911527)","(40.824527, -73.911527)",3K CENTER @ EAST 162ND STREET BRONX,,,,
2023-2025,NYC DOE,3K CENTER @ EBBITTS STREET - STATEN ISLAND,Richmond,Public School,R091,https://www.schools.nyc.gov/schools/R066,19.0,19.0,0.0,0.0,Yes,19,0,Yes,,,20 EBBITTS STREET,Staten Island,NY,10306,11/03/2023,"(40.565082, -74.112013)","(40.565082, -74.112013)",3K CENTER @ EBBITTS STREET STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ FATHER CAPODANNO BOULEVARD - STATEN IS,Richmond,Public School,R113,https://www.schools.nyc.gov/schools/R066,19.0,19.0,0.0,0.0,Yes,19,0,Yes,,,841 FATHER CAPODANNO BOULEVARD,Staten Island,NY,10305,11/17/2023,"(40.575592, -74.083885)","(40.575592, -74.083885)",3K CENTER @ FATHER CAPODANNO BOULEVARD STATEN IS,,,,
2023-2025,NYC DOE,3K CENTER @ PROSPECT AVENUE - BRONX,Bronx,Public School,X493,https://www.schools.nyc.gov/schools/X626,16.0,16.0,0.0,0.0,Yes,16,0,Yes,,,1222 Prospect Avenue,Bronx,NY,10459,08/17/2023,"(40.827077, -73.898165)","(40.827077, -73.898165)",3K CENTER @ PROSPECT AVENUE BRONX,,,,
2023-2025,NYC DOE,3K CENTER @ RICHMOND TERRACE - STATEN ISLAND,Richmond,Public School,R110,https://www.schools.nyc.gov/schools/R066,10.0,10.0,0.0,0.0,Yes,10,0,Yes,,,1800 Richmond Terrace,Staten Island,NY,10310,11/03/2023,"(40.63707, -74.125156)","(40.63707, -74.125156)",3K CENTER @ RICHMOND TERRACE STATEN ISLAND,,,,
2023-2025,NYC DOE,3K CENTER @ SPRINGFIELD BOULEVARD - QUEENS,Queens,Public School,Q363,https://www.schools.nyc.gov/schools/Q381,18.0,18.0,0.0,0.0,Yes,18,0,Yes,Yes,Complete,134-35 Springfield Boulevard,Queens,NY,11413,12/15/2023,"(40.679089, -73.75327)","(40.679089, -73.75327)",3K CENTER @ SPRINGFIELD BOULEVARD QUEENS,,,,
2023-2025,NYC DOE,3K CENTER @ TOMPKINS AVENUE - STATEN ISLAND,Richmond,Public School,R112,No Website,25.0,0.0,0.0,25.0,Yes,22,3,Yes,Yes,Ongoing,375 Tompkins Avenue,Staten Island,NY,10305,07/11/2025,"(40.616793, -74.073448)","(40.616793, -74.073448)",3K CENTER @ TOMPKINS AVENUE STATEN ISLAND,,,,
2023-2025,NYC DOE,50 BROADWAY,Man,Public School,M913,No Website,1.0,0.0,0.0,1.0,Yes,1,0,Yes,Yes,,50 Broadway,Manhattan,NY,10004,07/11/2025,"(40.706232, -74.012440	)","(40.706232, -74.012440	)",50 BROADWAY,,,,
2023-2025,NYC DOE,51ST AVENUE ACADEMY - QUEENS,Queens,Public School,Q877,https://www.schools.nyc.gov/schools/Q007,30.0,30.0,0.0,0.0,Yes,30,0,Yes,,,76-05 51 AVENUE,Queens,NY,11373,10/20/2023,"(40.737222, -73.887011)","(40.737222, -73.887011)",51ST AVENUE ACADEMY QUEENS,,,,
2023-2025,NYC DOE,A. PHILLIP RANDOLPH HS - MANHATTAN,Manhattan,Public School,M540,https://www.schools.nyc.gov/schools/M540,38.0,0.0,0.0,38.0,Yes,30,8,Yes,Yes,Ongoing,443 WEST 135 STREET,Manhattan,NY,10031,05/02/2025,"(40.8185, -73.949929)","(40.8185, -73.949929)",A PHILLIP RANDOLPH  MANHATTAN,,,,
2023-2025,NYC DOE,ABRAHAM LINCOLN HS - K,Kings,Public School,K410,https://www.schools.nyc.gov/schools/K053,85.0,0.0,85.0,0.0,Yes,85,0,Yes,Yes,Complete,2800 OCEAN PARKWAY,BROOKLYN,NY,11235,08/08/2025,"(40.582627, -73.968733)","(40.582627, -73.968733)",ABRAHAM LINCOLN  K,,1766.0,2163.0,0.816458622283865
2023-2025,NYC DOE,Academy for Personal Leadership and Excellence Ele,Bronx,Public School,X469,https://www.schools.nyc.gov/schools/X363,69.0,0.0,0.0,69.0,Yes,65,4,Yes,Yes,Ongoing,2347 Morris Avenue,Bronx,NY,10468,04/18/2025,"(40.859523, -73.901575)","(40.859523, -73.901575)",Academy for Personal Leadership and Excellence Ele,,349.0,350.0,0.9971428571428572
2023-2025,NYC DOE,ACADEMY OF AMERICAN STUD HS - Q,Queens,Public School,Q451,https://www.schools.nyc.gov/schools/Q417,1.0,0.0,0.0,1.0,Yes,1,0,Yes,Yes,,28-04 41 Avenue,Queens,NY,11101,05/02/2025,"(40.751144, -73.937564)","(40.751144, -73.937564)",ACADEMY OF AMERICAN STUD  Q,,964.0,1399.0,0.6890636168691923
2023-2025,NYC DOE,ACADEMY OF AMERICAN STUDIES - QUEENS,Queens,Public School,Q575,https://www.schools.nyc.gov/schools/Q575,48.0,0.0,0.0,48.0,Yes,47,1,Yes,Yes,Ongoing,40-11 28 Street,Queens,NY,11101,03/21/2025,"(40.751839, -73.936596)","(40.751839, -73.936596)",ACADEMY OF AMERICAN STUDIES QUEENS,,964.0,1399.0,0.6890636168691923
2023-2025,NYC DOE,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL - K,Kings,Public School,K784,https://www.schools.nyc.gov/schools/K508,80.0,0.0,80.0,0.0,Yes,78,2,Yes,Yes,Ongoing,510 WAVERLY AVENUE,BROOKLYN,NY,11238,07/12/2024,"(40.682422, -73.965928)","(40.682422, -73.965928)",ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL K,,,,
2023-2025,NYC DOE,ACORN COMMUNITY HS - K,Kings,Public School,K909,https://www.schools.nyc.gov/schools/K373,45.0,0.0,0.0,45.0,Yes,45,0,Yes,Yes,Complete,561 GRAND AVENUE,Brooklyn,NY,11238,07/11/2025,"(40.678591, -73.961636)","(40.678591, -73.961636)",ACORN COMMUNITY  K,,,,
2023-2025,NYC DOE,ADAMS STREET EDUCATIONAL CAMPUS - K,Kings,Public School,K313,https://www.schools.nyc.gov/schools/K527,78.0,0.0,78.0,0.0,Yes,78,0,Yes,Yes,Complete,283 ADAMS STREET,BROOKLYN,NY,11201,08/08/2025,"(40.694629, -73.988323)","(40.694629, -73.988323)",ADAMS STREET EDUCATIONAL CAMPUS K,,496.0,556.0,0.8920863309352518
2023-2025,NYC DOE,Adlai E. Stevenson Educational Campus,Bronx,Public School,X450,https://www.schools.nyc.gov/schools/X376,96.0,0.0,96.0,0.0,Yes,96,0,Yes,Yes,Complete,1980 LAFAYETTE AVENUE,BRONX,NY,10473,07/11/2025,"(40.821218, -73.85593)","(40.821218, -73.85593)",Adlai E Stevenson Educational Campus,,,,
2023-2025,NYC DOE,ADULT BASIC EDUCATION - QUEENS,Queens,Public School,Q972,https://www.schools.nyc.gov/schools/Q389,40.0,40.0,0.0,0.0,Yes,40,0,Yes,,,27-35 JACKSON AVENUE,Queens,NY,11101,08/17/2023,"(40.748159, -73.940316)","(40.748159, -73.940316)",ADULT BASIC EDUCATION QUEENS,,,,
2023-2025,NYC DOE,ADULT LRNG CTR (OLD GRLS HS) - K,Kings,Public School,K743,No Website,16.0,0.0,0.0,16.0,Yes,11,5,Yes,Yes,Ongoing,475 NOSTRAND AVENUE,Brooklyn,NY,11216,05/16/2025,"(40.681512, -73.94913)","(40.681512, -73.94913)",ADULT LRNG CTR K,,,,
2023-2025,NYC DOE,Albee Square Campus,Kings,Public School,K748,https://www.schools.nyc.gov/schools/K482,57.0,0.0,0.0,57.0,Yes,57,0,Yes,Yes,,424 Albee Square West,Brooklyn,NY,11201,04/04/2025,"(40.691124, -73.983827)","(40.691124, -73.983827)",Albee Square Campus,,,,
2023-2025,NYC DOE,ALFRED E. SMITH HS - X,Bronx,Public School,X600,https://www.schools.nyc.gov/schools/X381,94.0,0.0,0.0,94.0,Yes,88,6,Yes,Yes,Ongoing,333 EAST 151 STREET,Bronx,NY,10451,02/07/2025,"(40.818645, -73.919949)","(40.818645, -73.919949)",ALFRED E SMITH  X,,366.0,403.0,0.9081885856079404
2023-2025,NYC DOE,ALL CITY LEADERSHIP SCHOOL - K,Kings,Public School,K779,https://www.schools.nyc.gov/schools/K554,5.0,0.0,0.0,5.0,Yes,5,0,Yes,Yes,,1474 Gates Avenue,Brooklyn,NY,11237,05/16/2025,"(40.6978, -73.9139)","(40.6978, -73.9139)",ALL CITY LEADERSHIP SCHOOL K,,336.0,431.0,0.7795823665893271
2023-2025,NYC DOE,ALL CITY LEADERSHIP SECONDARY SCHOOL - BROOKLYN,Kings,Public School,K554,https://www.schools.nyc.gov/schools/K554,31.0,0.0,0.0,31.0,Yes,29,2,Yes,Yes,Ongoing,321 Palmetto Street,Brooklyn,NY,11237,04/18/2025,"(40.697378, -73.913172)","(40.697378, -73.913172)",ALL CITY LEADERSHIP SECONDARY SCHOOL BROOKLYN,,336.0,431.0,0.7795823665893271
2023-2025,NYC DOE,ALTERNATIVE HS SUPERINTENDENT-Q,Queens,Public School,Q733,NO WEBSITE,3.0,0.0,0.0,3.0,Yes,3,0,Yes,Yes,,90-01 SUTPHIN BOULEVARD,Queens,NY,11435,04/04/2025,"(40.70283, -73.807991)","(40.70283, -73.807991)",ALTERNATIVE  SUPERINTENDENTQ,,,,
2023-2025,NYC DOE,ALTERNATIVE LEARNING CENTER - M,Manhattan,Public School,M233,NO WEBSITE,14.0,0.0,0.0,14.0,Yes,14,0,Yes,Yes,Complete,601 WEST 183 STREET,Manhattan,NY,10033,07/11/2025,"(40.850819, -73.933042)","(40.850819, -73.933042)",ALTERNATIVE LEARNING CENTER M,,,,
2023-2025,NYC DOE,Arthur Avenue Educational Building,Bronx,Public School,X909,https://www.schools.nyc.gov/schools/X723,23.0,0.0,23.0,0.0,Yes,23,0,Yes,,,516 EAST TREMONT AVENUE,BRONX,NY,10457,05/03/2024,"(40.846495, -73.896596)","(40.846495, -73.896596)",Arthur Avenue Educational Building,,261.0,265.0,0.9849056603773584
2023-2025,NYC DOE,ARTHUR D. PHILLIPS SCHOOL - S.I.,Richmond,Public School,R829,https://www.schools.nyc.gov/schools/R065,77.0,77.0,0.0,0.0,Yes,77,0,Yes,Yes,Complete,98 GRANT STREET,Staten Island,NY,10301,05/17/2024,"(40.633666, -74.078337)","(40.633666, -74.078337)",ARTHUR D PHILLIPS SCHOOL SI,,,,
2023-2025,NYC DOE,ARTHUR SCHOMBURG HS (IS 201) - M,Manhattan,Public School,M501,https://www.schools.nyc.gov/schools/M157,81.0,0.0,81.0,0.0,Yes,60,21,Yes,Yes,Ongoing,2005 MADISON AVENUE,MANHATTAN,NY,10035,04/19/2024,"(40.807019, -73.938714)","(40.807019, -73.938714)",ARTHUR SCHOMBURG  M,,,,
2023-2025,NYC DOE,AUGUST MARTIN HS - QUEENS,Queens,Public School,Q400,https://www.schools.nyc.gov/schools/M973,63.0,0.0,0.0,63.0,Yes,57,6,Yes,Yes,Ongoing,156-10 BAISLEY BOULEVARD,Queens,NY,11434,05/16/2025,"(40.673949, -73.782684)","(40.673949, -73.782684)",AUGUST MARTIN  QUEENS,,449.0,584.0,0.7688356164383562
2023-2025,NYC DOE,AUTOMOTIVE TRADES VOC HS - K,Kings,Public School,K610,https://www.schools.nyc.gov/schools/K610,29.0,0.0,0.0,29.0,Yes,23,6,Yes,Yes,Ongoing,50 BEDFORD AVENUE,Brooklyn,NY,11222,02/07/2025,"(40.721448, -73.953328)","(40.721448, -73.953328)",AUTOMOTIVE TRADES VOC  K,,,,
2023-2025,NYC DOE,AUX. SERV - ST. GEORGE SCHOOL-S.I.,Richmond,Public School,R801,https://www.schools.nyc.gov/schools/R721,1.0,0.0,0.0,1.0,Yes,1,0,Yes,Yes,,450 ST MARKS PLACE,Staten Island,NY,10301,05/16/2025,"(40.638388, -74.077564)","(40.638388, -74.077564)",AUX SERV ST GEORGE SCHOOLSI,,,,
2023-2025,NYC DOE,AUX. SERV. - JAMAICA LEARN CT - Q,Queens,Public School,Q595,https://www.schools.nyc.gov/schools/Q338,8.0,0.0,0.0,8.0,Yes,7,1,Yes,Yes,Ongoing,162-02 HILLSIDE AVENUE,Queens,NY,11432,05/02/2025,"(40.708204, -73.799532)","(40.708204, -73.799532)",AUX SERV JAMAICA LEARN CT Q,,,,
2023-2025,NYC DOE,AUX. SERV-MAN. LEARNING CENTER - M,Manhattan,Public School,M827,NO WEBSITE,3.0,0.0,0.0,3.0,Yes,3,0,Yes,Yes,,500 8 AVENUE,Manhattan,NY,10018,04/18/2025,"(40.753038, -73.992405)","(40.753038, -73.992405)",AUX SERVMAN LEARNING CENTER M,,,,
2023-2025,NYC DOE,AUXILIARY SERVICES HS - BRONX,Bronx,Public School,X953,https://www.schools.nyc.gov/schools/M401,5.0,0.0,5.0,0.0,Yes,5,0,Yes,,,3450 EAST TREMONT AVENUE,BRONX,NY,10465,07/12/2024,"(40.831829, -73.827642)","(40.831829, -73.827642)",AUXILIARY SERVICES  BRONX,,,,
2023-2025,NYC DOE,AVIATION HS - Q,Queens,Public School,Q610,https://www.schools.nyc.gov/schools/Q610,76.0,0.0,0.0,76.0,Yes,62,14,Yes,Yes,Ongoing,45-30 36 STREET,Queens,NY,11101,02/07/2025,"(40.743309, -73.929577)","(40.743309, -73.929577)",AVIATION  Q,,1401.0,1846.0,0.7589382448537378
2023-2025,NYC DOE,AVIATION HS ANNEX-Q,Queens,Public School,Q750,https://www.schools.nyc.gov/schools/Q610,4.0,0.0,0.0,4.0,Yes,4,0,Yes,Yes,,Jfk Airport-bldg #141,Queens,NY,11422,05/30/2025,"(40.648252, -73.788243)","(40.648252, -73.788243)",AVIATION  ANNEXQ,,1401.0,1846.0,0.7589382448537378
2023-2025,NYC DOE,BACCALAUREATE SCL FOR GLOBAL ED-Q,Queens,Public School,Q798,https://www.schools.nyc.gov/schools/Q580,17.0,17.0,0.0,0.0,Yes,17,0,Yes,Yes,Complete,34-12 36 AVENUE,Queens,NY,11106,12/15/2023,"(40.754975, -73.926977)","(40.754975, -73.926977)",BACCALAUREATE SCL FOR GLOBAL EDQ,,255.0,525.0,0.4857142857142857
2023-2025,NYC DOE,BALLET TECH/PUB. SCL FOR DANCE - M,Manhattan,Public School,M905,https://www.schools.nyc.gov/schools/M442,9.0,0.0,0.0,9.0,Yes,9,0,Yes,Yes,,890 BROADWAY,Manhattan,NY,10003,05/02/2025,"(40.738521, -73.989481)","(40.738521, -73.989481)",BALLET TECH/PUB SCL FOR DANCE M,,,,
2023-2025,NYC DOE,BARD COLLEGE HS (OLD M097) - M,Manhattan,Public School,M097,https://www.schools.nyc.gov/schools/M696,35.0,0.0,0.0,35.0,Yes,35,0,Yes,Yes,Complete,525 EAST HOUSTON STREET,Manhattan,NY,10002,07/11/2025,"(40.718276, -73.976093)","(40.718276, -73.976093)",BARD COLLEGE  M,,,,
2023-2025,NYC DOE,BARUCH COLLEGE CAMPUS HS - M,Manhattan,Public School,M874,https://www.schools.nyc.gov/schools/M411,19.0,0.0,0.0,19.0,Yes,17,2,Yes,Yes,Ongoing,55 EAST  25 STREET,Manhattan,NY,10010,04/18/2025,"(40.741888, -73.985723)","(40.741888, -73.985723)",BARUCH COLLEGE CAMPUS  M,,,,
2023-2025,NYC DOE,BATHGATE HS - BRONX,Bronx,Public School,X970,https://www.schools.nyc.gov/schools/X241,79.0,79.0,0.0,0.0,Yes,79,0,Yes,Yes,Complete,1595 BATHGATE AVENUE,Bronx,NY,10457,10/10/2023,"(40.839508, -73.901774)","(40.839508, -73.901774)",BATHGATE  BRONX,,,,
2023-2025,NYC DOE,BAYARD RUSTIN EDUCATIONAL COMP-M,Manhattan,Public School,M440,https://www.schools.nyc.gov/schools/M437,63.0,0.0,0.0,63.0,Yes,54,9,Yes,Yes,Ongoing,351 WEST  18 STREET,Manhattan,NY,10011,02/21/2025,"(40.743407, -74.00254)","(40.743407, -74.00254)",BAYARD RUSTIN EDUCATIONAL COMPM,,,,
